Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Variable: Mean value of annual precipitation across the year (mm),Description: Mean value of annual precipitation across the year (mm),Comment: Mean value of annual precipitation across the year (mm),Variable: Mean value of monthly temperature across the year (°C),Description: Mean value of monthly temperature across the year (°C),Comment: Mean value of monthly temperature across the year (°C),Variable: Variance in monthly precipitation means,Description: Variance in monthly precipitation means,Comment: Variance in monthly precipitation means
Ethnographic Atlas,Topoke,Ae26,xd145,Topoke (Ae26),,,0,24,0,24,poke1238,Poke,pof,Atlantic-Congo,213481.0312,,,22.71114686,,,7545691031,,
Binford Hunter-Gatherer,Bear Creek Northern Paiute,B223,xd994,Bear Creek Paiute (B223),,,43.94,-120.49,43.94,-120.49,nort1551,North Northern Paiute,,Uto-Aztecan,85011.79133,,,6.544646886,,,4042505682,,
Ethnographic Atlas,Beatty,Nd33,xd1167,Beatty (Nd33),,,37,-116,37,-116,pana1305,Panamint,par,Uto-Aztecan,30271.76407,,,12.0435765,,,1155145265,,
Binford Hunter-Gatherer,Yuqui,B44,xd918,Yuqui (B44),,,-16.46,-64.97,-16.46,-64.97,yuqu1240,Yuqui,yuq,Tupian,137603.6498,,,22.47225778,,,13166593438,,
Ethnographic Atlas,Bassari,Ag21,xd257,Bassari (Ag21),,,12,-13,12,-13,bass1258,Bassari-Tanda,bsc,Atlantic-Congo,82964.55859,,,26.63431761,,,10747814035,,
Ethnographic Atlas,Bari,Aj8,xd413,Bari (Aj8),,,5,32,5,32,ligo1238,Ligo,,Nilotic,147891.0085,,,23.82347936,,,11345125913,,
Ethnographic Atlas,Banyun,Ag16,xd251,Banyune (Ag16),,,12,-16,12,-16,bain1259,Bainounk-Gujaher,bab,Atlantic-Congo,48179.10827,,,26.65246788,,,6764437368,,
Binford Hunter-Gatherer,Bannock,B252,xd1200,Bannock (B252),,,43.66,-112.32,43.66,-112.32,bann1248,Bannock,,Uto-Aztecan,50931.86514,,,2.770848036,,,987566964.4,,
Ethnographic Atlas,Toposa,Aj24,xd400,Topotha (Aj24),,,5,34,5,34,topo1242,Toposa,toq,Nilotic,113633.8593,,,24.47161082,,,7934862124,,
Ethnographic Atlas,Basa,Ah11,xd300,Basa (Ah11),,,8,8,8,8,basa1282,Basa (Nigeria),bzw,Atlantic-Congo,135403.6151,,,24.31231705,,,11268563078,,
Ethnographic Atlas,Bergdama,Aa4,xd4,Bergdama (Aa4),,,-22,16,-22,16,dama1270,Damara,,Khoe-Kwadi,42805.12609,,,22.66307586,,,3648138188,,
Ethnographic Atlas,Yurak-Samoyeds,Ec4,xd632,Yurak (Ec4),Samoyed and/or Nenets,RU04/RU41,68,75,68,75,nene1249,Tundra Nenets,yrk,Uralic,36216.25315,,,-9.23623532,,,322254754.1,,
Ethnographic Atlas,Basketo,Ca28,xd435,Basketo (Ca28),,,6,37,6,37,bask1236,Basketo,bst,Ta-Ne-Omotic,83042.00591,,,21.66024055,,,4925033032,,
Ethnographic Atlas,Bako,Ca23,xd430,Bako (Ca23),,,6,37,6,37,aari1239,Aari,aiw,South Omotic,83042.00591,,,21.66024055,,,4925033032,,
Ethnographic Atlas,Bashkir,ch12,xd549,Bashkir (ch12),,,54,56,54,56,bash1264,Bashkir,bak,Turkic,62513.91829,,,4.59519289,,,824189599.1,,
Binford Hunter-Gatherer,Bayaka,B61,xd924,Bayaka (B61),,,3.58,17.76,3.58,17.76,beka1240,Beka,,Atlantic-Congo,162035.4339,,,22.17259851,,,7987183075,,
Standard cross-cultural sample,Toradja,SCCS87,xd767,Toradja (SCCS87),Toradja,OG11,-2,121,-2,121,tora1261,Toraja-Sa'dan,sda,Austronesian,245748.5389,,,22.74314386,,,14773302749,,
Standard cross-cultural sample,Bemba,SCCS7,xd55,Bemba (SCCS7),Bemba,FQ05,-10.5,30.5,-10.5,30.5,town1238,Town Bemba,,Atlantic-Congo,126297.4775,,,17.66497935,,,20553738597,,
Binford Hunter-Gatherer,Bambote,B62,xd925,Bambote (B62),,,-6.64,28.26,-6.64,28.26,holo1240,Holoholo,hoo,Atlantic-Congo,147985.2807,,,22.30217802,,,22031266129,,
Standard cross-cultural sample,Yurak-Samoyeds,SCCS53,xd632,Yurak Samoyed (SCCS53),Samoyed and/or Nenets,RU04/RU41,68,51.5,68,51.5,nene1249,Tundra Nenets,yrk,Uralic,42108.24373,,,-4.752981222,,,418058681.3,,
Ethnographic Atlas,Barí (Motilon),Sb3,xd1328,Motilon (Sb3),,,9,-72,9,-72,bari1297,Barí,mot,Chibchan,94470.77933,,,23.40024009,,,8752924389,,
Ethnographic Atlas,Banna,Ca19,xd425,Banna (Ca19),,,6,36,6,36,hame1242,Hamer-Banna,amf,South Omotic,105177.3732,,,23.23806026,,,7372450100,,
Ethnographic Atlas,Beta Israel,Ca31,xd439,Falasha (Ca31),,,12,37,12,37,qima1242,Qimant,ahg,Afro-Asiatic,99942.14029,,,20.19374093,,,11911020799,,
Ethnographic Atlas,Bata,Ah34,xd325,Bata (Ah34),,,10,13,10,13,bata1314,Bata,bta,Afro-Asiatic,85009.42836,,,24.68768162,,,6491266948,,
Ethnographic Atlas,Toradja,Ic5,xd767,Toradja (Ic5),Toradja,OG11,-2,121,-2,121,tora1261,Toraja-Sa'dan,sda,Austronesian,245748.5389,,,22.74314386,,,14773302749,,
Ethnographic Atlas,Bemba,Ac3,xd55,Bemba (Ac3),Bemba,FQ05,-11,31,-11,31,town1238,Town Bemba,,Atlantic-Congo,121032.2311,,,17.73388941,,,19280474471,,
Ethnographic Atlas,Basakomo,Ah12,xd301,Basakomo (Ah12),,,8,7,8,7,basa1282,Basa (Nigeria),bzw,Atlantic-Congo,129910.2994,,,24.15890561,,,10298524054,,
Standard cross-cultural sample,Yurok,SCCS134,xd1101,Yurok (SCCS134),Yurok,NS31,41.5,-124,41.5,-124,yuro1248,Yurok,yur,Algic,101372.2761,,,11.88940898,,,10790474701,,
Binford Hunter-Gatherer,Wadaduka,B228,xd1176,Wadaduica (Ruby Valley Shoshoni) (B228),,,40.36,-115.39,40.36,-115.39,west2622,Western Shoshoni,,Uto-Aztecan,44746.79882,,,7.162857794,,,1116220874,,
Ethnographic Atlas,Kol,Eg8,xd684,Kol (Eg8),Kol,AW37,22,85,22,85,mund1320,Mundari,unr,Austroasiatic,122780.9171,,,23.90893577,,,18106069538,,
Ethnographic Atlas,Kom,Ae54,xd176,Kom (Ae54),,,6,10,6,10,komc1235,Kom (Cameroon),bkm,Atlantic-Congo,188116.4365,,,21.61891109,,,15530988627,,
Ethnographic Atlas,Koma,Ai46,xd377,Koma (Ai46),,,9,35,9,35,komo1258,Komo (Sudan),xom,Koman,178159.1594,,,20.24194014,,,19883177312,,
Ethnographic Atlas,Toro,Ad48,xd118,Toro (Ad48),,,1,31,1,31,toor1238,Tooro,ttj,Atlantic-Congo,164579.0542,,,20.79007683,,,14829464236,,
Ethnographic Atlas,Kombe,Ig17,xd849,Koobe (Ig17),,,-4.67,149.53,-5,149,mudu1242,Muduapa,wiv,Austronesian,264301.3625,,,27.14855916,,,15835100252,,
Binford Hunter-Gatherer,Konaig,B294,xd999,Konaig (B294),,,57.93,-153.16,57.93,-153.16,beri1255,Beringov,,Eskimo-Aleut,88334.85362,,,1.156670794,,,1402345783,,
Ethnographic Atlas,Yurok,Nb4,xd1101,Yurok (Nb4),Yurok,NS31,41,-124,41,-124,yuro1248,Yurok,yur,Algic,95250.29751,,,12.11936958,,,9910907385,,
Ethnographic Atlas,Konjo,Ad44,xd114,Konjo (Ad44),,,-1,30,-1,30,konz1239,Konzo,koo,Atlantic-Congo,158183.0574,,,16.96009344,,,15383245742,,
Ethnographic Atlas,Konkomba,Ag10,xd245,Konkomba (Ag10),,,10,0,10,0,konk1269,Konkomba,xon,Atlantic-Congo,98381.4028,,,25.91696084,,,8912725994,,
Standard cross-cultural sample,Konso,SCCS35,xd415,Konso (SCCS35),,,5.25,37.5,5.25,37.5,kons1243,Konso,kxc,Afro-Asiatic,71439.83592,,,21.95125181,,,3899447287,,
Ethnographic Atlas,Konso,Ca1,xd415,Konso (Ca1),Konso,MP17,6,37,6,37,kons1243,Konso,kxc,Afro-Asiatic,83042.00591,,,21.66024055,,,4925033032,,
Ethnographic Atlas,Totonac,Nj4,xd1303,Totonac (Nj4),,,20,-97,20,-97,high1243,Highland Totonac,tos,Totonacan,155126.7671,,,16.63081682,,,5887968054,,
Ethnographic Atlas,Koranko,Ag24,xd260,Koranko (Ag24),,,9,-11,9,-11,kura1250,Kuranko,knk,Mande,223788.6243,,,23.06990964,,,49839484344,,
Ethnographic Atlas,Koreans,Ed1,xd638,Koreans (Ed1),Korea,AA01,38.134147,126.960754,35,102,kore1280,Korean,kor,Koreanic,85202.63962,,,-2.458942668,,,5990130897,,
Western North American Indian database,Yurok,WNAI36,xd1101,Yurok (J36),Yurok,NS31,41.5,-124,41.5,124,yuro1248,Yurok,yur,Algic,101372.2761,,,11.88940898,,,10790474701,,
Standard cross-cultural sample,Koreans,SCCS116,xd638,Koreans (SCCS116),Korea,AA01,37.6,126.42,37.6,126.42,kore1280,Korean,kor,Koreanic,79581.19522,,,10.64379312,,,6186705294,,
Ethnographic Atlas,Koro,Af31,xd210,Koro (Af31),,,18,8,18,8,ashe1269,Ashe,ahs,Atlantic-Congo,14756.80192,,,24.72755085,,,674404146.9,,
Ethnographic Atlas,Korongo,Ai38,xd368,Korongo (Ai38),,,10,30,10,30,kron1241,Krongo,kgo,Kadugli-Krongo,97561.55477,,,25.62836725,,,6774532672,,
Ethnographic Atlas,Koryak,Ec5,xd633,Koryak (Ec5),Koryak,RY04,61.99,164.24,62,164,kory1246,Koryak,kpy,Chukotko-Kamchatkan,49185.35932,,,-9.890587823,,,644833866.5,,
Ethnographic Atlas,Trarza,Cc19,xd497,Trarza (Cc19),,,18,-15,18,-15,hass1238,Hassaniyya,mey,Afro-Asiatic,5771.460649,,,26.89224499,,,107725746.9,,
Binford Hunter-Gatherer,Koso,B197,xd1165,Koso Mountain Shoshoni (B197),Western,NT22,36.12,-117.7,36.12,-117.7,pana1305,Panamint,par,Uto-Aztecan,41594.44464,,,12.69628855,,,3054691549,,
Ethnographic Atlas,Adangme,Af35,xd214,Adangme (Af35),,,6,0,6,0,adan1247,Adangme,ada,Atlantic-Congo,105897.6985,,,25.52951265,,,6692146973,,
Binford Hunter-Gatherer,Yurok,B186,xd1101,Yurok (B186),Yurok,NS31,41.4,-123.89,41.4,-123.89,yuro1248,Yurok,yur,Algic,101372.2761,,,11.88940898,,,10790474701,,
Ethnographic Atlas,Alagya,Af44,xd224,Alagya (Af44),,,5.22,-4.42,5,-4,alla1248,Alladian,ald,Atlantic-Congo,122994.3842,,,25.34330238,,,8900025848,,
Ethnographic Atlas,Alsea,Nb28,xd1088,Alsea (Nb28),,,44,-124,44,-124,alse1251,Alsea-Yaquina,aes,Alsea-Yaquina,106288.3632,,,11.37536575,,,10183148513,,
Binford Hunter-Gatherer,Aimoré,B48,xd1413,Botocudo (B48),,,-18.71,-41.86,-18.71,-41.86,kren1239,Krenak,kqq,Nuclear-Macro-Je,77309.7205,,,20.55194951,,,5747446773,,
Ethnographic Atlas,Akyem,Af12,xd189,Akyem (Af12),Twi,FE12,7,-1,7,-1,akye1239,Akyem Bosome,,Atlantic-Congo,115073.805,,,24.22771708,,,6494606892,,
Ethnographic Atlas,Tristan da Cunha,Cf3,xd538,Tristan da Cunha (Cf3),,,-37.11,-12.27,-37,-12,stan1293,English,eng,Indo-European,91369.04944,,,15.40435263,,,1805362026,,
Ethnographic Atlas,Koya,Eg11,xd674,Koya (Eg11),,,19,78,19,78,koya1251,Koya,kff,Dravidian,109047.7736,,,23.19109633,,,15429330443,,
Binford Hunter-Gatherer,Koyukon,B354,xd1010,Koyukon (B354),,,66.52,-153.78,66.52,-153.78,koyu1237,Koyukon,koy,Athapaskan-Eyak-Tlingit,55059.98626,,,-10.08955299,,,856047235.3,,
Ethnographic Atlas,Yusufzai,Ea2,xd601,Pathan (Ea2),Pashtun,AU04,35,72,35,72,yusu1238,Yusufzai,,Indo-European,59988.09838,,,8.869929061,,,3516183058,,
Ethnographic Atlas,Kpe,Ae2,xd138,Kpe (Ae2),,,4.22,9.27,4,9,mokp1239,Mokpwe,bri,Atlantic-Congo,212615.8447,,,24.94847173,,,14404955165,,
Ethnographic Atlas,Kpelle,Af15,xd192,Kpelle (Af15),Kpelle,FD06,7,-9,7,-9,libe1247,Liberia Kpelle,xpe,Mande,203221.9469,,,23.26514451,,,31535205520,,
Ethnographic Atlas,Krahn,Af47,xd227,Kran (Af47),,,6,-8,6,-8,west2488,Western Krahn,krw,Atlantic-Congo,170030.0034,,,23.84734071,,,17504744958,,
Ethnographic Atlas,Kru,Af48,xd228,Kru (Af48),,,5,-9,5,-9,klao1243,Klao,klu,Atlantic-Congo,152899.4449,,,25.9751578,,,16868538260,,
Standard cross-cultural sample,Trobriands,SCCS98,xd852,Trobrianders (SCCS98),Trobriands,OL06,-8.54,151.01,-8.64,151.01,kili1267,Kilivila,kij,Austronesian,206628.7631,,,26.73240145,,,12473689601,,
Ethnographic Atlas,Amba,Ae1,xd127,Amba (Ae1),,,1,30,1,30,amba1263,Amba (Uganda),rwm,Atlantic-Congo,193996.3342,,,19.30406862,,,13230061873,,
Ethnographic Atlas,Kuba,Ac4,xd66,Kuba (Ac4),,,-5,22,-5,22,bush1247,Bushoong,buf,Atlantic-Congo,172282.7628,,,22.54260913,,,14911292219,,
Binford Hunter-Gatherer,Yuwaalaraay,B125,xd970,Ualarai (B125),,,-29.3,147.25,-29.3,147.25,gami1243,Gamilaraay,kld,Pama-Nyungan,67177.47977,,,19.55548528,,,3678427611,,
Ethnographic Atlas,Kuikuru,Si10,xd1398,Kuikuru (Si10),,,-13,-54,-13,-54,kuik1246,Kuikúro-Kalapálo,kui,Cariban,127652.1465,,,24.4736998,,,15121763255,,
Western North American Indian database,Wadaduka,WNAI122,xd1176,Ruby Valley Shoshone (J122),,,40.8,-115.2,40.8,115.2,west2622,Western Shoshoni,,Uto-Aztecan,46181.00437,,,7.390416319,,,1178236895,,
Ethnographic Atlas,Kuki,Ei20,xd708,Kuki (Ei20),,,23,92,23,92,lush1249,Mizo,lus,Sino-Tibetan,116263.5061,,,23.24392894,,,14255254934,,
Ethnographic Atlas,Kuku,Aj15,xd390,Kuku (Aj15),,,4,32,4,32,kuku1285,Kuku,,Nilotic,143130.0985,,,23.31765468,,,12430370386,,
Binford Hunter-Gatherer,Agta (Casiguran),B12,xd906,Agta (Casiguran) (B12),,,17.33,122.13,17.33,122.13,casi1235,Casiguran-Nagtipunan Agta,dgc,Austronesian,170959.2415,,,25.02175468,,,17479639355,,
Ethnographic Atlas,Trobriands,Ig2,xd852,Trobriands (Ig2),Trobriands,OL06,-8.43,151.09,-8,151,kili1267,Kilivila,kij,Austronesian,223167.9529,,,26.78779604,,,12381981194,,
Binford Hunter-Gatherer,Kuku (Yalanji),B96,xd946,Kuku (Yalanji) (B96),,,-15.92,145.32,-15.92,145.32,kuku1273,Kuku-Yalanji,gvn,Pama-Nyungan,110298.6021,,,24.43094883,,,18247635965,,
Binford Hunter-Gatherer,Agta (Cagayan),B14,xd908,Agta (Cagayan) (B14),,,17.82,121.8,17.82,121.8,cent2084,Central Cagayan Agta,agt,Austronesian,156615.5502,,,25.08385263,,,17153114519,,
Ethnographic Atlas,Zapotec,Nj10,xd1296,Zapotec (Nj10),Zapotec,NU44,17,-96,17,-96,yala1267,Yalálag Zapotec,zpu,Otomanguean,106745.5761,,,20.81118287,,,4707637248,,
Binford Hunter-Gatherer,Kumeyaay,B147,xd1137,Diegueno (B147),,,32.44,-116.49,32.44,-116.49,kumi1248,Tipai,dih,Cochimi-Yuman,16631.7784,,,18.94994489,,,643120844.3,,
Ethnographic Atlas,Kumeyaay,Nc6,xd1137,Diegueno (Nc6),,,32,-116,32,-116,kumi1248,Tipai,dih,Cochimi-Yuman,15742.99389,,,19.72093882,,,525511292.9,,
Binford Hunter-Gatherer,Agaiduka,B207,xd1182,Salmon Eater Shoshoni (B207),,,42.94,-115.3,42.94,-115.3,nort2955,Northern Shoshoni,,Uto-Aztecan,51896.68546,,,6.846128024,,,1516375948,,
Binford Hunter-Gatherer,Ainu,B22,xd635,Ainu (B22),Ainu,AB06,44.01,144.17,44.01,144.17,ainu1240,Hokkaido Ainu,ain,Ainu,89129.20587,,,5.607462308,,,2126084677,,
Ethnographic Atlas,Trukese,If2,xd833,Trukese (If2),Truk,OR19,7.34,151.6,7,152,chuu1238,Chuukese,chk,Austronesian,281260.5623,,,27.59829754,,,18619153518,,
Ethnographic Atlas,Adara,Ah19,xd308,Kadara (Ah19),,,10,8,10,8,kada1284,Kadara,kad,Atlantic-Congo,121622.591,,,23.19933534,,,12809603157,,
Ethnographic Atlas,Agaiduka,Nd46,xd1182,Agaiduka (Nd46),,,44,-112,44,-112,nort2955,Northern Shoshoni,,Uto-Aztecan,51409.58789,,,2.642343603,,,941956428,,
Standard cross-cultural sample,Zazzagawa Hausa,SCCS26,xd476,Hausa (SCCS26),Hausa,MS12,10.5,7.5,10.5,7.5,araw1280,Arawa,,Afro-Asiatic,117300.8381,,,23.40562254,,,12917203638,,
Binford Hunter-Gatherer,Akurio,B37,xd916,Akuriyo (B37),,,3,-55,3,-55,akur1238,Akurio,ako,Cariban,96040.72192,,,24.8047631,,,7258214747,,
Ethnographic Atlas,Alacaluf,Sg5,xd1387,Alacaluf (Sg5),,,-52,-74,-52,-74,qawa1238,Qawasqar,alc,Kawesqar,135790.8889,,,5.833742621,,,1300699870,,
Ethnographic Atlas,Adi,Ee1,xd653,Abor (Ee1),,,28,95,28,95,bori1243,Bori-Karko,adi,Sino-Tibetan,216081.1017,,,16.8581008,,,59736865351,,
Binford Hunter-Gatherer,Aivilingmiut Inuit,B383,xd1024,Aivilingmiut Inuit (B383),,,65.16,-88.12,65.16,-88.12,cari1277,Caribou Eskimo,,Eskimo-Aleut,34141.87438,,,-15.88026864,,,504442116.1,,
Standard cross-cultural sample,Trukese,SCCS109,xd833,Trukese (SCCS109),Truk,OR19,7.34,151.6,7.4,151.67,chuu1238,Chuukese,chk,Austronesian,281260.5623,,,27.59829754,,,18619153518,,
Ethnographic Atlas,Ambo,Ab19,xd20,Ambo (Ab19),,,-17,16,-17,16,ndon1254,Ndonga,ndo,Atlantic-Congo,86243.57324,,,21.76799113,,,11157409170,,
Ethnographic Atlas,Afikpo,Af23,xd201,Afikpo (Af23),Igbo,FF26,6,8,6,8,afik1238,Afikpo,,Atlantic-Congo,154402.5582,,,24.02845009,,,10878388703,,
Ethnographic Atlas,Zazzagawa Hausa,Cb26,xd476,Zazzagawa Hausa (Cb26),Hausa,MS12,11,8,11,8,araw1280,Arawa,,Afro-Asiatic,99285.16641,,,23.03385303,,,9867007742,,
Ethnographic Atlas,Akha,Ej7,xd729,Akha (Ej7),,,21,100,21,100,akha1245,Akha,ahk,Sino-Tibetan,116660.6526,,,18.40430406,,,14190769772,,
Ethnographic Atlas,Alorese,Ic2,xd764,Alorese (Ic2),Alor,OF05,-8.22,124.26,-8,125,abui1241,Abui,abz,Timor-Alor-Pantar,167525.4379,,,26.78128071,,,23728404151,,
Ethnographic Atlas,Alur,Aj17,xd392,Alur (Aj17),,,2,31,2,31,alur1250,Alur,alz,Nilotic,170669.2223,,,20.88007696,,,14420996332,,
Binford Hunter-Gatherer,Alkatcho,B336,xd1069,Alkatcho (B336),,,51.32,-124.02,51.32,-124.02,sout2958,Southern Carrier,caf,Athapaskan-Eyak-Tlingit,142556.0821,,,0.37757664,,,9624123261,,
Standard cross-cultural sample,Trumai,SCCS175,xd1399,Trumai (SCCS175),Trumai,SP23,-11.83,-53.67,-11.83,-53.67,trum1247,Trumai,tpy,Trumai,138303.4017,,,24.4858271,,,16468389692,,
Binford Hunter-Gatherer,Alsea,B269,xd1088,Alsea (B269),,,44.42,-123.84,44.42,-123.84,alse1251,Alsea-Yaquina,aes,Alsea-Yaquina,105560.723,,,11.34018899,,,9895678187,,
Western North American Indian database,Agaiduka,WNAI126,xd1182,Agaiduka Shoshone (J126),,,45,-113.8,45,113.8,nort2955,Northern Shoshoni,,Uto-Aztecan,73786.06444,,,1.719998546,,,2446064981,,
Ethnographic Atlas,Zekara,Cd10,xd508,Zekara (Cd10),,,34,-2,34,-2,tidi1241,Tidikelt-Tuat Tamazight,tia,Afro-Asiatic,21628.85785,,,16.81119186,,,318692471.7,,
Ethnographic Atlas,Alkatcho,Nb10,xd1069,Alkatcho (Nb10),,,53,-126,53,-126,sout2958,Southern Carrier,caf,Athapaskan-Eyak-Tlingit,138832.9353,,,1.025036863,,,7903939743,,
Ethnographic Atlas,Amarar,Ca35,xd443,Amarar (Ca35),,,20,36,20,36,amar1281,Amara (Beja),,Afro-Asiatic,9698.06432,,,26.08697885,,,246583576.3,,
Ethnographic Atlas,Afar,Ca6,xd454,Afar (Ca6),,,12,42,12,42,afar1241,Afar,aar,Afro-Asiatic,61004.81713,,,24.66467787,,,5721975033,,
Ethnographic Atlas,Ainu,Ec7,xd635,Ainu (Ec7),Ainu,AB06,44,144,44,144,ainu1240,Hokkaido Ainu,ain,Ainu,94917.25083,,,6.219941553,,,2666283290,,
Ethnographic Atlas,Trumai,Si2,xd1399,Trumai (Si2),Trumai,SP23,-12,-53,-12,-53,trum1247,Trumai,tpy,Trumai,132862.0059,,,24.89278821,,,16360223501,,
Standard cross-cultural sample,Alorese,SCCS89,xd764,Alorese (SCCS89),Alor,OF05,-8.33,124.67,-8.33,124.67,abui1241,Abui,abz,Timor-Alor-Pantar,168015.1538,,,26.63101361,,,23833377925,,
Standard cross-cultural sample,Ainu,SCCS118,xd635,Ainu (SCCS118),Ainu,AB06,42.83,143,42.83,143,ainu1240,Hokkaido Ainu,ain,Ainu,105774.0933,,,6.877421172,,,3293987850,,
Ethnographic Atlas,Zenaga,Cc20,xd499,Zenaga (Cc20),,,18,-8,18,-8,zena1248,Zenaga,zen,Afro-Asiatic,8595.382645,,,26.79813116,,,188197150.4,,
Ethnographic Atlas,Algerians,Cd12,xd510,Algerians (Cd12),,,31,2,31,2,algi1247,Algiers,,Afro-Asiatic,4188.006955,,,19.07974748,,,47173954.61,,
Binford Hunter-Gatherer,Wadatkuht,B212,xd992,Honey Lake Paiute (B212),Northern Paiute,NR13,40.27,-120.44,40.27,-120.44,sout2967,South Northern Paiute,,Uto-Aztecan,81783.17536,,,8.674580885,,,7903294170,,
Binford Hunter-Gatherer,Kutenai,B250,xd1205,Kutenai (B250),,,47.48,-114.08,47.48,-114.08,kute1249,Kutenai,kut,Kutenai,101480.5447,,,3.494287174,,,4835964617,,
Ethnographic Atlas,Aleut,Na9,xd1067,Aleut (Na9),Aleut,NA06,53.86,-166.79,54,-167,east2533,Eastern Aleut,,Eskimo-Aleut,86597.83955,,,3.756624331,,,1072380413,,
Ethnographic Atlas,Kutenai,Nd7,xd1205,Kutenai (Nd7),,,50,-117,50,-117,kute1249,Kutenai,kut,Kutenai,100370.9197,,,1.034683176,,,3970127342,,
Ethnographic Atlas,Tsamai,Ca17,xd423,Tsamai (Ca17),,,5,37,5,37,tsam1247,Tsamai,tsb,Afro-Asiatic,66131.54844,,,24.26918515,,,3516476752,,
Ethnographic Atlas,Mentaweians,Ib7,xd756,Mentaweians (Ib7),Mentawaians,OD09,-2.93,100.23,-3,100,ment1249,Mentawai,mwv,Austronesian,159303.612,,,26.9461788,,,9987818558,,
Ethnographic Atlas,Merina,Eh2,xd688,Merina (Eh2),,,-19,46,-19,46,meri1243,Merina,,Austronesian,109438.7004,,,22.06742271,,,17456983478,,
Ethnographic Atlas,Meru,Ad35,xd104,Meru (Ad35),,,0,35,0,35,meru1245,Meru,mer,Atlantic-Congo,68198.09799,,,19.39983749,,,6129817057,,
Ethnographic Atlas,Mesakin,Ai39,xd369,Mesakin (Ai39),,,11,30,11,30,ngil1242,Ngile,jle,Narrow Talodi,83224.02109,,,25.7611338,,,5484783802,,
Ethnographic Atlas,Mescalero,Nh15,xd1265,Mescalero (Nh15),,,33,-103,33,-103,mesc1238,Mescalero-Chiricahua Apache,apm,Athapaskan-Eyak-Tlingit,57098.57048,,,14.07346677,,,1321557840,,
Western North American Indian database,Tsimshian,WNAI5,xd1104,Tsimshian (J5),,,55.3,-130.05,55.3,130,nucl1649,Southern-Coastal Tsimshian,tsi,Tsimshian,196126.3556,,,2.739294285,,,12782982768,,
Western North American Indian database,Mescalero,WNAI154,xd1265,Mescalero Apache (J154),,,32.5,-105,32.5,105,mesc1238,Mescalero-Chiricahua Apache,apm,Athapaskan-Eyak-Tlingit,51602.90478,,,13.2838206,,,1102498844,,
Ethnographic Atlas,Messiria Humr,Cb15,xd464,Messiria Humr (Cb15),,,11,28,11,28,west2773,Western Sudanese,,Afro-Asiatic,73558.58883,,,25.54747012,,,4432881245,,
Standard cross-cultural sample,Ashanti,SCCS19,xd208,Ashanti (SCCS19),Twi,FE12,7,-1.5,7,-1.5,asan1239,Asante,,Atlantic-Congo,116987.9963,,,24.03454623,,,6752452184,,
Ethnographic Atlas,Miao,Ed4,xd647,Miao (Ed4),Miao,AE05,26,107,26,107,horn1235,Horned Miao,hrm,Hmong-Mien,108771.1885,,,14.24339188,,,7725928053,,
Ethnographic Atlas,Midobi,Cb11,xd460,Midobi (Cb11),,,16,27,16,27,mido1240,Midob,mei,Nubian,9641.011261,,,23.24954778,,,350797315.9,,
Binford Hunter-Gatherer,Mikea,B66,xd928,Mikea (B66),,,-22.32,43.81,-22.32,43.81,masi1268,Masikoro Malagasy,msh,Austronesian,58207.07624,,,25.20442386,,,6281353820,,
Standard cross-cultural sample,Mi'kmaq,SCCS126,xd1058,Micmac (SCCS126),Mi'kmaq,NJ05,46.99,-65,46,-63,mikm1235,Mi'kmaq,mic,Algic,99384.76652,,,5.811557592,,,1638214920,,
Ethnographic Atlas,Tsimshian,Nb7,xd1104,Tsimshian (Nb7),,,54.64,-130.25,55,-130,nucl1649,Southern-Coastal Tsimshian,tsi,Tsimshian,184716.8116,,,4.529848214,,,11793874760,,
Ethnographic Atlas,Mi'kmaq,Na41,xd1058,Micmac (Na41),Mi'kmaq,NJ05,47,-65,47,-65,mikm1235,Mi'kmaq,mic,Algic,99384.76652,,,5.811557592,,,1638214920,,
Binford Hunter-Gatherer,Mi'kmaq,B329,xd1058,Micmac (B329),Mi'kmaq,NJ05,46.99,-65,46.99,-65,mikm1235,Mi'kmaq,mic,Algic,99384.76652,,,5.811557592,,,1638214920,,
Ethnographic Atlas,Ashanti,Af3,xd208,Ashanti (Af3),Twi,FE12,7,-2,7,-2,asan1239,Asante,,Atlantic-Congo,118902.1876,,,23.84137538,,,7010297475,,
Ethnographic Atlas,Mimika,Ie30,xd808,Mimika (Ie30),,,-4,135,-4,135,kamo1255,Kamoro,kgq,Nuclear Trans New Guinea,298970.5246,,,25.45189139,,,29546921403,,
Ethnographic Atlas,Minangkabau,Ib6,xd755,Minangkabau (Ib6),,,-1,101,-1,101,mina1268,Minangkabau,min,Austronesian,180099.641,,,24.95685278,,,10224579554,,
Ethnographic Atlas,Minchia,Ed8,xd651,Minchia (Ed8),,,26,100,26,100,cent2004,Central Bai,bca,Sino-Tibetan,137972.0125,,,10.86445526,,,11204436072,,
Ethnographic Atlas,Min Chinese,Ed6,xd649,Min Chinese (Ed6),,,24,115,24,115,minn1241,Min Nan Chinese,nan,Sino-Tibetan,123008.0892,,,19.40835112,,,12252399689,,
